Year,Round,EventName,Country,Location,EventDate
2024,18,Singapore Grand Prix,Singapore,Marina Bay,9/22/2024
2024,19,United States Grand Prix,United States,Austin,10/20/2024
2024,20,Mexico City Grand Prix,Mexico,Mexico City,10/27/2024
2024,21,São Paulo Grand Prix,Brazil,São Paulo,11/3/2024
2024,22,Las Vegas Grand Prix,United States,Las Vegas,11/24/2024
2024,23,Qatar Grand Prix,Qatar,Lusail,12/1/2024
2024,24,Abu Dhabi Grand Prix,United Arab Emirates,Yas Island,12/8/2024
2025,0,Pre-Season Testing,Bahrain,Sakhir,2/28/2025
2025,1,Australian Grand Prix,Australia,Melbourne,3/16/2025
2025,2,Chinese Grand Prix,China,Shanghai,3/23/2025
2025,3,Japanese Grand Prix,Japan,Suzuka,4/6/2025
2025,4,Bahrain Grand Prix,Bahrain,Sakhir,4/13/2025
2025,5,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,4/20/2025
2025,6,Miami Grand Prix,United States,Miami,5/4/2025
2025,7,Emilia Romagna Grand Prix,Italy,Imola,5/18/2025
2025,8,Monaco Grand Prix,Monaco,Monaco,5/25/2025
2025,9,Spanish Grand Prix,Spain,Barcelona,6/1/2025
2025,10,Canadian Grand Prix,Canada,Montréal,6/15/2025
2025,11,Austrian Grand Prix,Austria,Spielberg,6/29/2025
2025,12,British Grand Prix,United Kingdom,Silverstone,7/6/2025
2025,13,Belgian Grand Prix,Belgium,Spa-Francorchamps,7/27/2025
2025,14,Hungarian Grand Prix,Hungary,Budapest,8/3/2025
2025,15,Dutch Grand Prix,Netherlands,Zandvoort,8/31/2025
2025,16,Italian Grand Prix,Italy,Monza,9/7/2025
2025,17,Azerbaijan Grand Prix,Azerbaijan,Baku,9/21/2025
2025,18,Singapore Grand Prix,Singapore,Marina Bay,10/5/2025
2025,19,United States Grand Prix,United States,Austin,10/19/2025
2025,20,Mexico City Grand Prix,Mexico,Mexico City,10/26/2025
